Month,Citizenship,Arrivals,Departures,Net,arrivals_sum,departures_sum,net_sum
2001-12-01,China,862,175,687,16679.0,1493.0,15186.0
2001-12-01,Fiji,527,57,470,4032.0,329.0,3703.0
2001-12-01,India,520,77,443,6317.0,645.0,5672.0
2001-12-01,New Zealand,5031,4279,752,28953.0,57042.0,-28089.0
2001-12-01,Philippines,136,19,117,1291.0,201.0,1090.0
2001-12-01,South Africa,307,44,263,4914.0,396.0,4518.0
2001-12-01,Sri Lanka,86,20,66,760.0,133.0,627.0
2001-12-01,United Kingdom,843,325,518,9034.0,4249.0,4785.0
2001-12-01,Vietnam,46,19,27,649.0,93.0,556.0
2002-01-01,China,2823,106,2717,18380.0,1501.0,16879.0
2002-01-01,Fiji,443,40,403,4025.0,346.0,3679.0
2002-01-01,India,732,58,674,6758.0,630.0,6128.0
2002-01-01,New Zealand,2759,4377,-1618,29022.0,54236.0,-25214.0
2002-01-01,Philippines,159,23,136,1382.0,201.0,1181.0
2002-01-01,South Africa,520,37,483,4953.0,388.0,4565.0
2002-01-01,Sri Lanka,127,14,113,779.0,136.0,643.0
2002-01-01,United Kingdom,1145,270,875,9238.0,4094.0,5144.0
2002-01-01,Vietnam,70,8,62,677.0,97.0,580.0
2002-02-01,China,2449,103,2346,19087.0,1472.0,17615.0
2002-02-01,Fiji,406,23,383,4008.0,351.0,3657.0
2002-02-01,India,1085,48,1037,7243.0,622.0,6621.0
2002-02-01,New Zealand,2200,3800,-1600,29290.0,51096.0,-21806.0
2002-02-01,Philippines,149,27,122,1421.0,211.0,1210.0
2002-02-01,South Africa,634,28,606,5112.0,400.0,4712.0
2002-02-01,Sri Lanka,84,2,82,764.0,126.0,638.0
2002-02-01,United Kingdom,775,299,476,9354.0,4073.0,5281.0
2002-02-01,Vietnam,56,8,48,661.0,101.0,560.0
2002-03-01,China,2359,104,2255,20204.0,1452.0,18752.0
2002-03-01,Fiji,269,27,242,3979.0,354.0,3625.0
2002-03-01,India,895,51,844,7756.0,625.0,7131.0
2002-03-01,New Zealand,1977,4345,-2368,29529.0,49907.0,-20378.0
2002-03-01,Philippines,156,20,136,1476.0,190.0,1286.0
2002-03-01,South Africa,452,37,415,5201.0,400.0,4801.0
2002-03-01,Sri Lanka,62,13,49,769.0,125.0,644.0
2002-03-01,United Kingdom,824,401,423,9648.0,3986.0,5662.0
2002-03-01,Vietnam,66,6,60,689.0,102.0,587.0
2002-04-01,China,2275,113,2162,21476.0,1444.0,20032.0
2002-04-01,Fiji,225,15,210,3884.0,347.0,3537.0
2002-04-01,India,710,61,649,8068.0,646.0,7422.0
2002-04-01,New Zealand,1669,4229,-2560,29535.0,49162.0,-19627.0
2002-04-01,Philippines,142,26,116,1512.0,201.0,1311.0
2002-04-01,South Africa,437,28,409,5276.0,391.0,4885.0
